City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,pratapgarh,24.0333,74.7833,15.83,57,29,3.15,IN,1707874407
345,kichmengskiy gorodok,59.9816,45.7854,-29.47,100,54,1.34,RU,1707874407
346,abong mbang,3.9833,13.1833,20.26,42,100,1.26,CM,1707874407
347,si bun rueang,16.9667,102.2833,26.2,38,42,1.15,TH,1707874407
348,namibe,-15.1961,12.1522,26.89,76,100,3.46,AO,1707874080
349,parauapebas,-6.0675,-49.9022,23.36,98,100,0.84,BR,1707874067
350,cadale,2.7603,46.3222,25.95,87,99,6.64,SO,1707874102
351,montecristi,-1.05,-80.6667,26.9,78,20,5.14,EC,1707874407
352,paita,-5.0892,-81.1144,26.77,75,83,7.31,PE,1707874164
353,pitkyaranta,61.5734,31.4792,-15.27,88,8,5.84,RU,1707874408
354,pokhara,28.2333,83.9833,13.99,20,100,2.12,NP,1707873961
355,kuta,-8.7233,115.1723,30.0,79,20,2.24,ID,1707874408
356,brisas de zicatela,15.8369,-97.0419,27.29,78,0,1.03,MX,1707874408
357,la mure,44.9026,5.7866,1.08,62,16,1.33,FR,1707874408
358,bengkulu,-3.8004,102.2655,25.71,89,98,2.1,ID,1707874097
359,nova odesa,47.3078,31.7851,6.72,96,100,1.81,UA,1707874408
